Blockchain Company,ICO Size (in millions),Market Capitalization
Engagement Token, $ 19.00 ,"18,279.50"
Enigma Catalyst, $ 45.00 ,"3,923,859"
Enjin, $ 22.93 ,"1,479,003,597"
Envion, $ 100.00 ,"6,594,524.14"
EOS," $ 4,200.00 ","6,023,251,387.93"
Equibit, $ 1.14 ,
Equitybase, $ 5.83 ,
Eros, $ 4.86 ,
Esports, $ 5.84 ,"776,047.40"
ESR Wallet Pre-Sale, $ 0.99 ,
ETCWin, $ 1.31 ,
Ethbits, $ 1.28 ,
Etheera, $ 0.03 ,"33,229.67"
Ether.camp, $ 0.65 ,
Etherisc,3.79,"182,418,072.05"
ETHernitymining,2.5,
Etheroll, $ 0.29 ,"9,493,661"
Etherparty (FUEL), $ 31.87 ,"911,899"
EthLend (LEND), $ 16.74 ,"10,776,937"
Eticket4, $ 1.00 ,
European Crypto Bank,1.96,
EximChain, $ 20.00 ,
Exolover,2.32,
Experty (EXY), $ 9.50 ,"7,591,323"
Exscudo, $ 5.30 ,
Fabric Token, $ 1.05 ,
FaceCoin, $ 0.84 ,
Faceter (FACE), $ 28.61 ,"3,284,967"
Factom, $ 0.54 ,"17,674,135"
Farma Trust,15,
fidentiaX, $ 1.57 ,"270,580.05"
Finom, $ 41.29 ,
FinShi Capital, $ 9.64 ,
FinShi Capital (FINS), $ 21.41 ,
FintruX Network (FTX), $ 25.00 ,"1,267,061"
Fire Lotto, $ 4.24 ,"363,197"
Flashmoni, $ 72.00 ,
Flixxo (FLIXX), $ 5.10 ,"9,252,665"
FLOGmall,23.21,
FluzFluz (FLUZ), $ 20.48 ,
FootballCoin, $ 2.42 ,"10,164,618"
Fort Knoxster (FKX), $ 15.00 ,"8,373,446"
FORTUNA, $ 2.00 ,"488,939"
Forty Seven Bank, $ 12.21 ,"58,094"
Fox Trading, $ 0.30 ,"139,318.48"
Friendz (FDZ), $ 13.75 ,"2,286,085"
Fuck, $ 0.30 ,
fujinto, $ 2.01 ,
Fund Platform, $ 4.43 ,
FundRequest, $ 12.10 ,"152,481.92"
FundYourselfNow, $ 0.74 ,
Fusion (FSN), $ 44.00 ,"62,135,598"
FuzeX, $ 36.25 ,"7,944,857.77"
Gagapay Network,1.3,
Game Stars,2.27,
Gameflip (FLP), $ 16.10 ,
Garuda Energy, $ 10.00 ,
GatCoin, $ 14.50 ,
Gatcoin (presale) (GAT), $ 9.00 ,"1,062,490.00"
GBX, $ 27.00 ,
Genaro Network (GNX), $ 11.61 ,"16,130,866"
Genesis Vision, $ 2.84 ,"19,095,261"
Genie (CGCOIN), $ 5.55 ,
GeoFounders, $ 0.23 ,
GetGems, $ 0.74 ,
Gibraltar Blockchain Exchange(RKT), $ 27.00 ,
GIFcoin, $ 2.80 ,
GIFTO, $ 10.00 ,"39,676,509"
Giga Watt, $ 18.68 ,"1,244,844.02"
Gilgam, $ 0.22 ,
Gilgam.es, $ 0.21 ,
Gimli, $ 1.72 ,"73,056.00"
Gladius, $ 14.68 ,"168,498"
Globitex, $ 12.50 ,"1,476,450.68"
GoChain, $ 13.69 ,"31,588,289.16"
GoHelpFund, $ 0.11 ,"41,014"
Golem, $ 8.60 ,"279,129,872.00"
Golos, $ 0.45 ,
GOToken,21,"205,916.00"
Grain, $ 11.30 ,"1,038,613"
Grain Pre-sale, $ 2.10 ,"1,075,418"
Gramaton Token,7,
GreenWorld Farm,4.6,
Grid+ (GRID), $ 38.95 ,"70,572,422"
GUTS Tickets, $ 7.52 ,"100,052,520"
Hacken (HKN), $ 5.00 ,"135,370,171"
Hackspace Capital, $ 4.80 ,
Hade, $ 4.14 ,
Hamster Marketplace, $ 4.38 ,0
Havven, $ 30.00 ,"182,687,823"
Hdac, $ 20.00 ,"177,220,628"
HEAT, $ 0.90 ,"2,163,911"
Hedge, $ 2.16 ,"63,918,609"
Helbiz, $ 5.50 ,
Hero Node, $ 21.77 ,"1,207,938"
Hero Token (HERO), $ 30.29 ,
HEROcoin, $ 8.17 ,"5,779,540"
HOLD, $ 11.30 ,"1,825,972"
Holo, $ 20.39 ,"1,515,405,173"
Honeybee,0.18,
HOQU (HOQU), $ 18.70 ,"771,532"
Horizon State, $ 0.89 ,
Hubii, $ 6.68 ,"70,976,948"
Humaniq, $ 5.16 ,"5,907,034"
Huobi, $ 300.00 ,"7,841,517,848"
